problem_idx,generation_accuracy,selection_accuracy,selection_precision,selection_recall,selection_f1,selection_tp,selection_tn,selection_fp,selection_fn,feature_thresholds,insufficient_data
0,0.828,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.6528140306472778), 'gpm_scores': np.float64(0.6046687960624695), 'offset_bias_scores': np.float64(0.7911676466464996), 'qrm_scores': np.float64(0.6938392966985703), 'urm_scores': np.float64(0.5552390217781067), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'grm_llama32_scores': np.float64(0.7168194204568863), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'skyworks_scores': np.float64(0.7588696479797363), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'grm_scores': np.float64(0.6874687671661377), 'grm_gemma_scores': np.float64(0.6625510156154633), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5)}",False
1,0.944,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.48625412583351135), 'grm_scores': np.float64(0.7318230271339417), 'qrm_scores': np.float64(0.7419665157794952), 'offset_bias_scores': np.float64(0.6984206587076187), 'grm_llama32_scores': np.float64(0.7341974079608917), 'urm_scores': np.float64(0.6421816647052765), 'gpm_scores': np.float64(0.6070564091205597), 'skyworks_scores': np.float64(0.7546816468238831), 'grm_gemma_scores': np.float64(0.6593273282051086), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5)}",False
2,0.972,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.5294884145259857), 'grm_scores': np.float64(0.6111705005168915), 'offset_bias_scores': np.float64(0.8130423724651337), 'qrm_scores': np.float64(0.8648397326469421), 'grm_gemma_scores': np.float64(0.790105402469635), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'gpm_scores': np.float64(0.6519190669059753), 'grm_llama32_scores': np.float64(0.7487949281930923), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'urm_scores': np.float64(0.8614315241575241), 'skyworks_scores': np.float64(0.6707957983016968), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5)}",False
3,1.0,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.45321235060691833), 'grm_scores': np.float64(0.32909271866083145), 'judge_gpt-4o_verdicts': np.float64(0.5), 'qrm_scores': np.float64(0.5634436756372452), 'offset_bias_scores': np.float64(0.5592830777168274), 'grm_llama32_scores': np.float64(0.4814210459589958), 'skyworks_scores': np.float64(0.49462366104125977), 'grm_gemma_scores': np.float64(0.6333841979503632), 'urm_scores': np.float64(0.44748061895370483), 'gpm_scores': np.float64(0.4106922149658203), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5)}",False
4,0.928,1,1.0,1.0,1.0,1,0,0,0,"{'qrm_scores': np.float64(0.750555545091629), 'internlm_scores': np.float64(0.5459129959344864), 'offset_bias_scores': np.float64(0.7603577077388763), 'urm_scores': np.float64(0.7053343653678894), 'judge_gpt-4o_verdicts': np.float64(0.5), 'gpm_scores': np.float64(0.46576227247714996), 'skyworks_scores': np.float64(0.7173387110233307), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'grm_scores': np.float64(0.6188909709453583), 'grm_gemma_scores': np.float64(0.7877135574817657), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'grm_llama32_scores': np.float64(0.6820130348205566), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5)}",False
5,0.872,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.6840362250804901), 'grm_scores': np.float64(0.6959607005119324), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'grm_gemma_scores': np.float64(0.727523535490036), 'skyworks_scores': np.float64(0.7894088625907898), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'grm_llama32_scores': np.float64(0.7036922872066498), 'qrm_scores': np.float64(0.8390454053878784), 'urm_scores': np.float64(0.717588484287262), 'gpm_scores': np.float64(0.5680608451366425), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'offset_bias_scores': np.float64(0.759870171546936), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5)}",False
6,0.884,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.4537348821759224), 'skyworks_scores': np.float64(0.7657004743814468), 'qrm_scores': np.float64(0.8084745705127716), 'gpm_scores': np.float64(0.5597412586212158), 'grm_llama32_scores': np.float64(0.7887689471244812), 'grm_scores': np.float64(0.7233244180679321), 'judge_gpt-4o_verdicts': np.float64(0.5), 'grm_gemma_scores': np.float64(0.8500521034002304), 'urm_scores': np.float64(0.7374560832977295), 'offset_bias_scores': np.float64(0.8392596244812012), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5)}",False
7,0.9,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.6735844016075134), 'grm_scores': np.float64(0.6742751151323318), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'skyworks_scores': np.float64(0.7760988920927048), 'grm_llama32_scores': np.float64(0.7464500069618225), 'gpm_scores': np.float64(0.5608772337436676), 'urm_scores': np.float64(0.7560950517654419), 'offset_bias_scores': np.float64(0.8077088296413422), 'grm_gemma_scores': np.float64(0.7065150886774063), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'qrm_scores': np.float64(0.8394256383180618), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5)}",False
8,1.0,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.9372469782829285), 'offset_bias_scores': np.float64(0.7267633080482483), 'grm_gemma_scores': np.float64(0.6825340390205383), 'grm_scores': np.float64(0.6274827122688293), 'qrm_scores': np.float64(0.7473251223564148), 'urm_scores': np.float64(0.8370015919208527), 'skyworks_scores': np.float64(0.6240846216678619), 'grm_llama32_scores': np.float64(0.6132921278476715), 'gpm_scores': np.float64(0.37896551191806793), 'judge_llama-3.1-nemotron-70b-instruct-hf_verdicts': np.float64(0.5)}",False
9,0.744,1,1.0,1.0,1.0,1,0,0,0,"{'qrm_scores': np.float64(0.727417528629303), 'grm_scores': np.float64(0.6354201436042786), 'offset_bias_scores': np.float64(0.8018032312393188), 'internlm_scores': np.float64(0.481013186275959), 'urm_scores': np.float64(0.641106128692627), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'skyworks_scores': np.float64(0.7318548560142517), 'grm_llama32_scores': np.float64(0.6953480839729309), 'judge_gpt-4o_verdicts': np.float64(0.5), 'gpm_scores': np.float64(0.5707612633705139), 'grm_gemma_scores': np.float64(0.7283424884080887), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5)}",False
10,0.988,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.47213688492774963), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'grm_scores': np.float64(0.4051424264907837), 'grm_llama32_scores': np.float64(0.4606110155582428), 'gpm_scores': np.float64(0.4893413186073303), 'qrm_scores': np.float64(0.5795354843139648), 'offset_bias_scores': np.float64(0.3793501555919647), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'grm_gemma_scores': np.float64(0.2741766571998596), 'urm_scores': np.float64(0.5183485150337219), 'skyworks_scores': np.float64(0.3465297222137451), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5)}",False
11,0.984,0,0.0,0.0,0.0,0,0,1,1,"{'grm_llama32_scores': np.float64(0.7375579178333282), 'grm_scores': np.float64(0.7246203422546387), 'qrm_scores': np.float64(0.8128396570682526), 'grm_gemma_scores': np.float64(0.8345929086208344), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'gpm_scores': np.float64(0.6150287985801697), 'offset_bias_scores': np.float64(0.8118605315685272), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'internlm_scores': np.float64(0.6787723302841187), 'urm_scores': np.float64(0.6652513444423676), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'skyworks_scores': np.float64(0.7252747118473053), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5)}",False
12,1.0,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.49925924837589264), 'grm_scores': np.float64(0.35978052020072937), 'offset_bias_scores': np.float64(0.3443235903978348), 'grm_gemma_scores': np.float64(0.5202710628509521), 'grm_llama32_scores': np.float64(0.6076948046684265), 'qrm_scores': np.float64(0.6852610409259796), 'gpm_scores': np.float64(0.7250357568264008), 'urm_scores': np.float64(0.6565658003091812), 'skyworks_scores': np.float64(0.5895372033119202), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5)}",False
13,0.972,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.5703616142272949), 'gpm_scores': np.float64(0.5224260985851288), 'grm_scores': np.float64(0.6518320143222809), 'grm_gemma_scores': np.float64(0.7017914950847626), 'qrm_scores': np.float64(0.6769637912511826), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'offset_bias_scores': np.float64(0.6944227367639542), 'skyworks_scores': np.float64(0.6677631735801697), 'grm_llama32_scores': np.float64(0.6541997492313385), 'urm_scores': np.float64(0.7475893646478653), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5)}",False
14,0.968,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.6035168170928955), 'grm_scores': np.float64(0.6309950947761536), 'urm_scores': np.float64(0.6709740161895752), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'skyworks_scores': np.float64(0.773191824555397), 'offset_bias_scores': np.float64(0.6823344081640244), 'grm_llama32_scores': np.float64(0.7511380910873413), 'grm_gemma_scores': np.float64(0.7446633875370026), 'gpm_scores': np.float64(0.5744215548038483), 'qrm_scores': np.float64(0.8259788602590561), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5)}",False
15,0.876,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.7077964544296265), 'grm_scores': np.float64(0.6045204997062683), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'grm_gemma_scores': np.float64(0.7721907496452332), 'qrm_scores': np.float64(0.7790284156799316), 'offset_bias_scores': np.float64(0.7856819033622742), 'grm_llama32_scores': np.float64(0.6498972773551941), 'skyworks_scores': np.float64(0.7575250864028931), 'gpm_scores': np.float64(0.5015811175107956), 'urm_scores': np.float64(0.6710221171379089), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5)}",False
16,0.956,0,0.0,0.0,0.0,0,0,1,1,"{'internlm_scores': np.float64(0.7606206834316254), 'grm_scores': np.float64(0.7240528017282486), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'qrm_scores': np.float64(0.8364038914442062), 'urm_scores': np.float64(0.7870311886072159), 'skyworks_scores': np.float64(0.821856290102005), 'offset_bias_scores': np.float64(0.8855133652687073), 'grm_llama32_scores': np.float64(0.7656502574682236), 'gpm_scores': np.float64(0.6400626003742218), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'grm_gemma_scores': np.float64(0.8440516591072083), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5)}",False
17,0.808,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.7273805290460587), 'gpm_scores': np.float64(0.6693081855773926), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'qrm_scores': np.float64(0.8391107469797134), 'offset_bias_scores': np.float64(0.8629933893680573), 'grm_llama32_scores': np.float64(0.8115809857845306), 'urm_scores': np.float64(0.8286585509777069), 'grm_scores': np.float64(0.7268112897872925), 'skyworks_scores': np.float64(0.8573573678731918), 'grm_gemma_scores': np.float64(0.8519064635038376), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5)}",False
18,0.972,1,1.0,1.0,1.0,1,0,0,0,"{'qrm_scores': np.float64(0.824754536151886), 'gpm_scores': np.float64(0.44609005749225616), 'grm_scores': np.float64(0.5393050014972687), 'internlm_scores': np.float64(0.4893193542957306), 'skyworks_scores': np.float64(0.7737430036067963), 'urm_scores': np.float64(0.7675375044345856), 'offset_bias_scores': np.float64(0.596308633685112), 'grm_llama32_scores': np.float64(0.7336814701557159), 'grm_gemma_scores': np.float64(0.73678258061409), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5)}",False
19,0.868,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.7052148729562759), 'skyworks_scores': np.float64(0.7651515007019043), 'grm_gemma_scores': np.float64(0.7946653366088867), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'qrm_scores': np.float64(0.7933922708034515), 'offset_bias_scores': np.float64(0.7882510423660278), 'urm_scores': np.float64(0.7717113196849823), 'gpm_scores': np.float64(0.5806526243686676), 'grm_scores': np.float64(0.7013688534498215), 'judge_llama-3.1-nemotron-70b-instruct-hf_verdicts': np.float64(0.5), 'grm_llama32_scores': np.float64(0.6720288991928101), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5)}",False
20,0.788,1,1.0,1.0,1.0,1,0,0,0,"{'qrm_scores': np.float64(0.6916326582431793), 'grm_scores': np.float64(0.6049140989780426), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'urm_scores': np.float64(0.5518652200698853), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'skyworks_scores': np.float64(0.7183500379323959), 'gpm_scores': np.float64(0.6817625463008881), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'grm_gemma_scores': np.float64(0.7042375802993774), 'offset_bias_scores': np.float64(0.7572893053293228), 'grm_llama32_scores': np.float64(0.5659504532814026), 'judge_gpt-4o_verdicts': np.float64(0.5), 'internlm_scores': np.float64(0.628806084394455), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5)}",False
21,0.828,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.5774682462215424), 'gpm_scores': np.float64(0.6005221903324127), 'grm_scores': np.float64(0.6167328059673309), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'skyworks_scores': np.float64(0.6847972869873047), 'offset_bias_scores': np.float64(0.7270130068063736), 'grm_llama32_scores': np.float64(0.5923429429531097), 'grm_gemma_scores': np.float64(0.6850094199180603), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'urm_scores': np.float64(0.6177863478660583), 'qrm_scores': np.float64(0.7266211211681366), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5)}",False
22,0.996,1,1.0,1.0,1.0,1,0,0,0,"{'qrm_scores': np.float64(0.6203377544879913), 'offset_bias_scores': np.float64(0.7597641348838806), 'grm_gemma_scores': np.float64(0.24349721893668175), 'internlm_scores': np.float64(0.8508078157901764), 'skyworks_scores': np.float64(0.6598870158195496), 'urm_scores': np.float64(0.6639334112405777), 'gpm_scores': np.float64(0.2566344887018204), 'grm_llama32_scores': np.float64(0.5909787267446518), 'grm_scores': np.float64(0.6507668495178223), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5)}",False
23,0.916,1,1.0,1.0,1.0,1,0,0,0,"{'grm_llama32_scores': np.float64(0.534451961517334), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'internlm_scores': np.float64(0.4701905623078346), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'gpm_scores': np.float64(0.41172730177640915), 'offset_bias_scores': np.float64(0.7304505407810211), 'qrm_scores': np.float64(0.7543627619743347), 'grm_gemma_scores': np.float64(0.6044752597808838), 'urm_scores': np.float64(0.6594037860631943), 'grm_scores': np.float64(0.5844879299402237), 'skyworks_scores': np.float64(0.6924861073493958), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5)}",False
